anc_node,state,anc_node_ages,anc_hvolume
117,AF,-2.44872,2.69645968170942
118,AF,-1.61038,2.69645968170942
119,AF,-0.46435,2.69645968170942
120,AF,-0.324400000000001,2.69645968170942
121,AF,-0.30016,2.69645968170942
122,AF,-3.19112,2.69645968170942
123,AF,-1.5944,2.69645968170942
124,AF,-1.30078,2.69645968170942
125,AF,-1.36159,2.69645968170942
126,AF,-5.7484,2.69645968170942
127,AF,-3.71021,2.69645968170942
128,AF,-1.2844,2.69645968170942
129,AF,-1.63651,2.69645968170942
130,AFother,-1.02179,2.69645968170942
131,other,-5.48018,2.69645968170942
67,other,-7.29916,4.65115374235377
68,other,-7.05159,4.39248212469259e+106
69,other,-5.9804,-1.22850485429184e+107
70,other,-5.02708,2.69645968170942
71,other,-3.56961,2.69645968170942
72,AFother,-0.20064,2.69645968170942
73,other,-4.88213,2.69645968170942
74,other,-2.76474,2.69645968170942
75,other,-0.751469999999999,2.69645968170942
76,other,-3.58598,2.69645968170942
77,other,-2.91016,2.69645968170942
78,other,-2.16272,2.69645968170942
79,other,-0.44527,2.69645968170942
80,other,-3.17728,2.69645968170942
81,other,-4.15792,2.69645968170942
82,other,-6.7402,2.69645968170942
83,other,-5.84596,2.69645968170942
84,other,-4.60884,2.69645968170942
85,other,-3.15298,2.69645968170942
86,other,-2.50345,2.69645968170942
87,other,-2.15928,2.69645968170942
88,other,-1.65399,2.69645968170942
89,other,-0.231179999999999,2.69645968170942
90,other,-2.53045,2.69645968170942
91,other,-4.46453,2.69645968170942
92,other,-1.81102,2.69645968170942
93,other,-0.65722,2.69645968170942
94,other,-2.39791,2.69645968170942
95,other,-3.8604,2.69645968170942
96,other,-2.54937,2.69645968170942
97,AFother,-2.13676,2.69645968170942
98,AFother,-1.20617,2.69645968170942
99,AF,-0.69654,2.69645968170942
100,AF,-0.694439999999999,2.69645968170942
101,AFother,-1.59397,2.69645968170942
102,AFother,-4.84709,2.69645968170942
103,AF,-3.80232,2.69645968170942
104,AF,-3.0489,2.69645968170942
105,AF,-2.96446,2.69645968170942
106,AF,-2.7078,2.69645968170942
107,AF,-2.15183,2.69645968170942
108,AFother,-1.08192,2.69645968170942
109,AFother,-0.222359999999999,2.69645968170942
110,AF,-1.31331,2.69645968170942
111,AF,-0.89807,2.69645968170942
112,AF,-0.69351,2.69645968170942
113,AFother,-0.301629999999999,2.69645968170942
114,AF,-2.14463,2.69645968170942
115,AF,-2.86544,2.69645968170942
116,AF,-2.45876,2.69645968170942
117,AF,-2.43507,2.69645968170942
118,AF,-2.18595,2.69645968170942
119,AF,-0.75014,2.69645968170942
120,AF,-0.422829999999999,2.69645968170942
121,AF,-0.28738,2.69645968170942
122,AF,-2.62696,2.69645968170942
123,AF,-1.28551,2.69645968170942
124,AF,-1.07117,2.69645968170942
125,AF,-1.5524,2.69645968170942
126,AF,-3.52616,2.69645968170942
127,AF,-3.26285,2.69645968170942
128,AF,-2.60257,2.69645968170942
129,AF,-1.82425,2.69645968170942
130,AF,-2.20096,2.69645968170942
131,other,-3.64173,2.69645968170942
67,other,-7.8955,4.65552001557302
68,other,-7.74952,-2.10481666197521e+104
69,other,-7.3525,-5.03042160213498e+102
70,other,-7.21396,2.69645968170942
71,other,-5.03532,2.69645968170942
72,other,-4.62847,2.69645968170942
73,other,-3.4373,2.69645968170942
74,AFother,-0.27646,2.69645968170942
