region,temp_diurnal_range,precip_seasonality,soil_pH,solar_radiation
inside_AF,130,87,53.7861442565918,15661
inside_AF,111,63,53.2560234069824,14718.6669921875
inside_AF,104,54,51.5873489379883,14835.9169921875
inside_AF,98,63,51.5481910705566,13921.9169921875
inside_AF,123,66,50.1506042480469,15197.8330078125
inside_AF,132,72,50,14649.5830078125
inside_AF,119,76,50.0391578674316,14113.6669921875
inside_AF,84,41,65.0150604248047,16445.583984375
inside_AF,100,63,50.1295166015625,13892.1669921875
inside_AF,120,63,48.1355438232422,15150.75
inside_AF,117,61,49.852409362793,15303.8330078125
inside_AF,111,64,52.5722885131836,14159.4169921875
inside_AF,77,32,64.8373489379883,16666.416015625
inside_AF,94,46,52.2590370178223,13713.5
inside_AF,104,20,49.4969863891602,12913
inside_AF,97,55,52,13874.1669921875
inside_AF,128,66,50.647590637207,15196.9169921875
inside_AF,99,47,53.6234931945801,13664.1669921875
inside_AF,124,73,51.2469863891602,14472
inside_AF,91,44,50.7650604248047,13659.8330078125
inside_AF,106,77,51.9849395751953,14108.75
inside_AF,107,28,49.3945770263672,13741.6669921875
inside_AF,89,42,51.5512046813965,13357.25
inside_AF,85,30,50,13646.6669921875
inside_AF,127,28,53.7289161682129,14850.1669921875
inside_AF,113,27,55.1656608581543,15429.9169921875
inside_AF,132,21,54,15644.3330078125
inside_AF,122,17,53,14809.8330078125
inside_AF,116,26,54.0301208496094,14958.75
inside_AF,119,35,54.5512046813965,15290.8330078125
inside_AF,114,34,53,13623.9169921875
inside_AF,123,15,49.5843391418457,14366.5
inside_AF,110,67,50.6204833984375,14172.1669921875
inside_AF,97,27,50.3042182922363,13346.5
inside_AF,111,12,50.3885536193848,14095.6669921875
inside_AF,112,11,51,14168.25
inside_AF,125,13,50.3915672302246,15034.4169921875
inside_AF,137,13,50,15130
inside_AF,77,12,51,14137.1669921875
inside_AF,103,28,50.8734931945801,13827.75
inside_AF,87,29,50,13453.5830078125
inside_AF,114,65,52.3915672302246,15268.8330078125
inside_AF,130,25,52.5993957519531,14815.9169921875
inside_AF,102,23,48.25,13271.25
inside_AF,118,15,51,13361.5830078125
inside_AF,118,11,50.2198791503906,14136.1669921875
inside_AF,124,16,51,13386.6669921875
inside_AF,107,11,51.9427719116211,14469.75
inside_AF,128,10,51.225902557373,15322.6669921875
inside_AF,99,30,51.5632514953613,13738.5
inside_AF,128,24,53,16059.8330078125
inside_AF,97,31,50.4186744689941,13717.75
inside_AF,110,26,50.6174697875977,13728.3330078125
inside_AF,83,44,49.4487953186035,13487
inside_AF,98,11,50.9548187255859,14331.75
inside_AF,110,64,52.6204833984375,14667
inside_AF,102,19,50,13401.1669921875
inside_AF,130,22,55.569278717041,14805.8330078125
inside_AF,121,11,50.225902557373,14197.3330078125
inside_AF,120,23,49.6777114868164,13360.8330078125
inside_AF,97,20,50.1626510620117,14331.0830078125
inside_AF,113,11,51,14147.9169921875
inside_AF,111,24,49.1566276550293,14152.8330078125
inside_AF,108,29,50.6897583007812,13707.75
inside_AF,122,79,50.1174697875977,14734.8330078125
inside_AF,117,71,49.828311920166,14339
inside_AF,103,28,52.4006042480469,13489
inside_AF,115,21,49.4367485046387,14191.0830078125
inside_AF,124,21,54.5753021240234,15295.4169921875
inside_AF,96,23,51,13050
inside_AF,83,36,50.5361442565918,14803.0830078125
inside_AF,97,11,53,14600.8330078125
inside_AF,120,24,50.5030136108398,14606.75
inside_AF,103,51,52.3463859558105,14245.5
inside_AF,114,68,50.1897583007812,14222.6669921875
inside_AF,83,44,50,13445.5830078125
inside_AF,89,41,50.9819259643555,13217.8330078125
inside_AF,112,12,49.4608421325684,13961.9169921875
inside_AF,97,9,54.8403625488281,14178.75
inside_AF,115,25,56.3644561767578,15440.0830078125
inside_AF,92,41,52.6415672302246,13692.6669921875
inside_AF,136,13,56.1204833984375,15244.5830078125
inside_AF,74,42,51,14021.5
inside_AF,72,33,49.8825302124023,13596.5
inside_AF,93,27,49,13281.6669921875
inside_AF,109,11,51,14468.25
inside_AF,73,33,51,13607.0830078125
inside_AF,126,17,51,15026.5830078125
inside_AF,118,72,54,14687.6669921875
inside_AF,120,75,51.9126510620117,14573.25
inside_AF,84,9,52.1897583007812,14348.5
inside_AF,98,59,53.7018089294434,13944.9169921875
inside_AF,88,35,51.5271072387695,13102.5830078125
inside_AF,110,11,50.8012046813965,14279.4169921875
inside_AF,116,14,51.8463859558105,14777.0830078125
inside_AF,110,24,52.9608421325684,14078.75
inside_AF,103,24,49.9608421325684,13938.5830078125
inside_AF,94,20,50.0451812744141,13681.4169921875
inside_AF,106,17,48.2349395751953,13307.6669921875
inside_AF,122,16,52.3102416992188,14066.6669921875
inside_AF,97,10,51.8373489379883,14415.3330078125
inside_AF,124,80,50.0301208496094,14659.9169921875
inside_AF,114,81,51.1355438232422,15019.25
inside_AF,115,83,52.8102416992188,14515.5
inside_AF,121,86,53,14942.9169921875
inside_AF,78,41,50,13774.25
inside_AF,91,26,49.7801208496094,13035.6669921875
inside_AF,75,42,48,13381.1669921875
inside_AF,74,40,49.3403625488281,13133.25
inside_AF,102,60,52.2861442565918,14381.9169921875
inside_AF,94,24,51,13145.1669921875
inside_AF,83,44,52.1506042480469,13618.25
inside_AF,83,45,50.430721282959,13368.9169921875
inside_AF,106,26,49,14038.6669921875
inside_AF,73,19,48.0301208496094,14194.9169921875
inside_AF,112,80,53,14540.4169921875
inside_AF,117,69,52.1837348937988,14999.3330078125
inside_AF,124,24,56.6596374511719,15556.5
inside_AF,116,75,53,15177.6669921875
inside_AF,130,25,54.5813255310059,14780.5
inside_AF,94,23,51.3945770263672,13329.4169921875
