species,temp_diurnal_range,precip_seasonality,soil_pH,solar_radiation
albicans,81,44,50.8584327697754,15515.5830078125
albicans,104,76,51.2981910705566,16577
albicans,118,34,53.1777114868164,16299.9169921875
albicans,130,79,50,15721.5
albicans,121,91,57.0180740356445,16171.9169921875
albicans,117,62,61,16799.666015625
albicans,117,55,61,16889.333984375
albicans,119,24,50.4969863891602,14553.3330078125
albicans,84,44,51.4367485046387,13486
albicans,125,72,54,15436
albicans,118,40,53.6114463806152,14521.75
albicans,119,86,54,15868.5830078125
albicans,123,63,54,15570.6669921875
albicans,121,65,56,15097.3330078125
albicans,120,67,52.1234931945801,15438.4169921875
albicans,118,66,52.3704833984375,15296.9169921875
albicans,126,92,58,16171
albicans,94,44,58.6295166015625,15448.5830078125
albicans,100,82,55.8132514953613,16337.25
albicans,134,71,47,14814.5
albicans,128,90,57.0873489379883,15668.8330078125
albicans,107,86,53,15363.4169921875
albicans,98,63,50,16590.25
albicans,102,52,40,14106.75
albicans,94,77,51.102409362793,16384.916015625
albicans,87,50,50,17033.166015625
albicans,96,56,47.2078323364258,17242.5
albicans,96,62,48,16342.5
albicans,98,53,49.6325302124023,16752.416015625
albicans,96,55,48.5843391418457,17318.75
albicans,118,81,49,14603
albicans,129,86,55,15867.4169921875
albicans,128,87,54,16125.75
albicans,116,79,51.8042182922363,16475.166015625
albicans,133,74,54,16364.5
albicans,112,78,54,16498.166015625
albicans,89,43,42,14506.5
albicans,121,64,61.1777114868164,16637.666015625
albicans,103,62,51,14253.5
albicans,104,63,49.8222885131836,14437.1669921875
albicans,96,57,54.3042182922363,14016.75
albicans,85,49,46,18336.583984375
albicans,93,44,47.7650604248047,17057.166015625
albicans,88,32,49.9849395751953,17254.25
albicans,103,58,50.2048187255859,18085.166015625
albicans,109,51,47.1867485046387,15942.4169921875
albicans,78,55,NA,18802.833984375
albicans,110,58,44,16815.916015625
albicans,121,73,52.0753021240234,14155.5
albicans,111,47,50,17338.25
albicans,108,41,45,16382
albicans,103,51,50.8825302124023,17459.833984375
albicans,114,63,46.5120468139648,16389.583984375
albicans,112,46,43,16243.8330078125
albicans,133,69,52,14575.6669921875
albicans,78,43,51,16683.916015625
albicans,83,46,53.8162651062012,15128.0830078125
albicans,111,87,53,16186.8330078125
albicans,101,82,55.2078323364258,16250
albicans,130,71,52.328311920166,16356.0830078125
albicans,133,80,53.0150604248047,15961.6669921875
albicans,133,80,54,15916.4169921875
albicans,115,82,51,14364.8330078125
albicans,97,53,68.4186782836914,16711.833984375
