longitude,latitude,domains
-49.3791667,-26.4219445,AF
-49.883208,-27.766879,AF
-48.87,-27.45,AF
-49.8583333,-26.4594444,AF
-49.9975,-25.2527778,out
-49.699092,-25.779965,AF
-50.983124,-29.067645,AF
-50.982906,-28.875337,AF
-51.156076,-29.141,AF
-45.076565,-22.465227,AF
-48.87106,-26.819808,AF
-49.0047,-25.3878,AF
-49.148214,-27.683639,AF
-49.2494444,-26.2213889,AF
-49.14,-27.4497222,AF
-39.603333,-14.705833,AF
-39.216667,-14.416667,AF
-45.273992,-21.697788,AF
-43.689722,-20.048056,AF
-44.765255,-21.152429,AF
-43.076211,-22.475742,AF
-40.682509,-16.201495,AF
-41.865853,-17.450429,AF
-46.679136,-22.62171,AF
-50.2177778,-27.1825,AF
-46.395975,-23.053218,AF
-44.985425,-23.239583,AF
-48.082059,-24.232154,AF
-47.237619,-23.662734,AF
-44.333088,-22.257226,AF
-43.152356,-22.513021,AF
-40.793333,-19.187222,AF
-40.888889,-20.629444,AF
-41.583333,-19.25,AF
-43.58996,-19.956914,AF
-45.297825,-23.23744,AF
-44.878916,-22.462827,AF
-44.981667,-22.462778,AF
-49.072474,-24.884437,AF
-41.220908,-20.718568,AF
-34.940202,-7.793488,out
-44.310833,-22.343611,AF
-45.638467,-22.606944,AF
-42.346111,-22.532222,AF
-43.354824,-21.98117,AF
-40.812778,-18.871389,AF
-42.275807,-22.511078,AF
-41.591115,-20.634074,AF
-39.711,-13.578,AF
-35.899683,-8.955641,AF
-42.331912,-21.039543,AF
-40.7575,-19.973611,AF
-41.509996,-20.971138,AF
-42.85,-19.766668,AF
-40.643377,-19.735167,AF
-44.576667,-21.603889,AF
-41.736111,-20.394444,AF
-49.037993,-24.983668,AF
-49.3666667,-27.0502778,AF
-46.730278,-23.836111,AF
-44.891667,-22.390556,AF
-44.466308,-22.163838,AF
-48.6902777,-27.3613889,AF
-45.771389,-23.544167,AF
-43.816944,-20.878056,AF
-47.029581,-23.783278,AF
-47.508056,-23.976257,AF
-49.14,-27.27,AF
-48.78,-28.08,AF
-34.863056,-7.115,out
-42.567043,-19.715495,AF
-45.416667,-20.216667,AF
-34.9075,-7.26,out
-39.062855,-13.33704,AF
-39.329646,-13.308607,AF
-35.102563,-6.796356,out
-41.943889,-21.963333,AF
-36.313219,-9.783164,out
-39.22622,-15.480955,AF
-37.274072,-11.292319,AF
-34.961874,-8.071444,out
-34.825912,-7.19433,out
-47.540528,-22.410462,AF
-51.707251,-20.825208,out
-39.65,-13.083333,AF
-41.370413,-20.711783,AF
-36.836718,-10.695219,AF
-38.299147,-12.530499,AF
-43.304003,-22.555355,AF
-40.546389,-20.123056,AF
-40.4306,-13.4411,AF
-35.066548,-6.224603,out
-37.253,-10.4107,AF
-37.448333,-11.350833,AF
-37.206389,-11.014722,AF
-35.1988889,-5.9280556,out
-45.074064,-23.539998,AF
-48.9909,-24.6573,AF
-40.617311,-20.814728,AF
-38.5,-12.966667,AF
-39.383333,-15.966667,AF
-39.133333,-13.716667,AF
-39.156111,-13.877222,AF
-48.746412,-25.311203,AF
-50.147151,-24.685415,AF
-46.583758,-23.331755,AF
-42.610375,-21.930898,AF
-37.733333,-12.01,AF
-42.486,-19.753,AF
-36.642361,-10.009722,out
-38.726024,-12.585133,AF
-34.980305,-6.649817,out
-35.073805,-8.647685,AF
-40.573917,-20.721667,AF
-37.405556,-10.826111,out
-42.271479,-22.581967,AF
-35.896731,-9.709714,AF
-36.476217,-9.922986,out
-35.9592,-9.193056,AF
-48.675326,-25.319185,AF
-39.475544,-12.854008,AF
-43.217387,-22.807188,AF
-43.309249,-21.869348,AF
-43.415316,-20.23367,AF
-35.301989,-8.633458,AF
-35.045871,-7.55745,out
-48.4251,-18.585364,AF
-35.245833,-5.873611,out
-35.28,-8.82,AF
-35.1,-7.92,AF
